Job ID,Job Title,Company,Location,Employment Type,Seniority Level,Department / Function,Industry,Remote Type,Salary Range (Monthly USD),Currency,Posted Date,Application Deadline,Job Description (Short),Key Requirements (Short),Experience Required (Years),Education,Job URL (if any)
JOB-0001,Senior Software Engineer,Kaya Digital Labs,"Cairo, Egypt",Full-time,Senior,Engineering,Software & Technology,Hybrid,2500 - 3500,USD,2025-01-05,2025-02-10,Lead a small squad to design and build scalable backend services using Django and PostgreSQL.,"5+ years experience, strong Python/Django, REST APIs, familiarity with cloud platforms.",5,BSc in Computer Science or related,https://example.com/jobs/JOB-0001
JOB-0002,Product Manager - Travel Experiences,Sand & Sky Tours,Remote - EMEA,Full-time,Mid-level,Product,Travel & Tourism,Remote,2000 - 2800,USD,2025-02-12,2025-03-01,"Own the end-to-end lifecycle of desert and city tour products, from research to launch.","3+ years in product management, strong UX instincts, data-driven decision making.",3,"BSc in Business, Tourism or similar",https://example.com/jobs/JOB-0002
JOB-0003,Sales Executive - Corporate Travel,Nile Horizons Travel,"Dubai, UAE",Full-time,Mid-level,Sales,Travel & Tourism,Onsite,1800 - 2600 + commission,USD,2025-01-20,2025-02-20,Develop and manage B2B relationships with corporate clients across the GCC region.,"2–4 years B2B sales, excellent communication, existing GCC network a plus.",2,BSc in Business or related field,https://example.com/jobs/JOB-0003
JOB-0004,Digital Marketing Specialist,Oasis Retreats,"Riyadh, Saudi Arabia",Full-time,Mid-level,Marketing,Hospitality,Hybrid,2200 - 3000,USD,2025-01-10,2025-02-05,"Plan and execute performance campaigns across Meta Ads, Google Ads and TikTok.","3+ years in performance marketing, strong analytics, Arabic & English fluency.",3,BSc in Marketing or related,https://example.com/jobs/JOB-0004
JOB-0005,Operations Coordinator - Day Tours,Desert Pathways,"Giza, Egypt",Full-time,Entry-level,Operations,Travel & Tourism,Onsite,700 - 900,USD,2025-01-28,2025-02-15,"Coordinate daily tour departures, bus schedules and communication with tour guides.","Excellent organization, attention to detail, strong spoken English.",1,Any relevant degree,https://example.com/jobs/JOB-0005
JOB-0006,Customer Support Representative,Atlas Booking Engine,Remote,Full-time,Entry-level,Customer Support,SaaS / Travel Tech,Remote,900 - 1200,USD,2025-02-01,2025-02-25,Handle chat and email inquiries from travel agents using our booking software.,"Fluent English, customer-centric mindset, previous support experience is a plus.",0,Not specified,https://example.com/jobs/JOB-0006
JOB-0007,Finance Manager,Red Sea Resorts Group,"Hurghada, Egypt",Full-time,Manager,Finance,Hospitality,Onsite,2800 - 3600,USD,2025-01-15,2025-02-20,"Oversee budgeting, forecasting and financial reporting for a portfolio of resorts.","7+ years in finance, hospitality experience, strong IFRS knowledge.",7,CPA / ACCA or equivalent preferred,https://example.com/jobs/JOB-0007
JOB-0008,Tour Guide - Historical Cairo,Old City Experiences,"Cairo, Egypt",Part-time,Entry-level,Guiding,Travel & Tourism,Onsite,600 - 800 + tips,USD,2025-01-05,2025-02-10,Deliver engaging walking tours across Islamic and Coptic Cairo districts.,"Fluent English, storytelling skills, tour guiding license is a plus.",0,Any,https://example.com/jobs/JOB-0008
JOB-0009,UX/UI Designer,Voyage Studio,"Lisbon, Portugal",Full-time,Mid-level,Design,Software & Technology,Hybrid,2300 - 3100,USD,2025-02-05,2025-03-05,Design intuitive booking flows and responsive dashboards for B2C users.,"Figma mastery, strong portfolio, experience with design systems.",3,Design-related degree preferred,https://example.com/jobs/JOB-0009
JOB-0010,Data Analyst - Revenue Optimization,Global AirConnect,"London, United Kingdom",Full-time,Mid-level,Data & Analytics,Aviation,Hybrid,3200 - 4200,USD,2025-01-30,2025-03-01,Analyze booking and pricing data to recommend fare and inventory changes.,"SQL, Python, BI tools, experience in airline or travel data preferred.",4,"BSc in Statistics, Economics or similar",https://example.com/jobs/JOB-0010
